Canonical URL,Implementation,Audience,Authentication,Entry point,Back path,Inbound links,Outbound links,Status,Dependencies,Review state,Registry surface,Discovered as
/api/bna/integrations/zoom/attendance-correction-preview,server.js:41805,admin,protected,direct/server/static,none detected,,,internal-only,live credential,intentionally blocked,operations_api_zoom_attendance_correction_preview,route-registry | server-post
/api/bna/integrations/zoom/meeting-preview,server.js:41793,admin,protected,direct/server/static,none detected,,,internal-only,live credential,intentionally blocked,operations_api_zoom_meeting_preview,route-registry | server-post
/api/bna/integrations/zoom/meetings,server.js:41809,internal,protected,direct/server/static,none detected,,,internal-only,live credential,intentionally blocked,,server-post
/api/bna/integrations/zoom/session-automation-preview,server.js:41797,admin,protected,direct/server/static,none detected,,,internal-only,live credential,intentionally blocked,operations_api_zoom_session_automation_preview,route-registry | server-post
/api/bna/integrations/zoom/status,server.js:41782,admin,protected,direct/server/static,none detected,,,internal-only,live credential,intentionally blocked,operations_api_zoom_status,route-registry | server-get
/api/bna/integrations/zoom/webhook-attendance-preview,server.js:41801,admin,protected,direct/server/static,none detected,,,internal-only,live credential,intentionally blocked,operations_api_zoom_webhook_attendance_preview,route-registry | server-post
/api/bna/internal-dialogue,server.js:76803,internal,protected,direct/server/static,none detected,,,internal-only,local,ready,,server-get
/api/bna/internal-dialogue/messages,server.js:76850,internal,protected,direct/server/static,none detected,,,internal-only,local,ready,,server-post
/api/bna/learning-communities,server.js:63298 | server.js:63333,internal,protected,direct/server/static,none detected,,,internal-only,local,ready,,server-get | server-post
/api/bna/learning-communities/:id/members,server.js:63374,internal,protected,direct/server/static,none detected,,,internal-only,local,ready,,server-post
/api/bna/live-sessions,server.js:75787 | server.js:75820,internal,protected,direct/server/static,none detected,,,internal-only,local,ready,,server-get | server-post
/api/bna/live-sessions/:id,server.js:75893,internal,protected,direct/server/static,none detected,,,internal-only,local,ready,,server-patch
/api/bna/live-sessions/:id/check-in,server.js:75945,internal,protected,direct/server/static,none detected,,,internal-only,local,ready,,server-post
/api/bna/live-sessions/:id/communications,server.js:76032,internal,protected,direct/server/static,none detected,,,internal-only,local,ready,,server-get
/api/bna/live-sessions/:id/send-zoom-link,server.js:75981,internal,protected,direct/server/static,none detected,,,internal-only,live credential,intentionally blocked,,server-post
/api/bna/live-sessions/tonight,server.js:75869,internal,protected,direct/server/static,none detected,,,internal-only,local,ready,,server-get
/api/bna/me,server.js:62681,internal,protected,direct/server/static,none detected,,,internal-only,local,ready,,server-get
/api/bna/members,server.js:75662 | server.js:75695,internal,protected,direct/server/static,none detected,,,internal-only,local,ready,,server-get | server-post
/api/bna/members/:id,server.js:75734,internal,protected,direct/server/static,none detected,,,internal-only,local,ready,,server-patch
/api/bna/members/:id/access-code,server.js:75766,internal,protected,direct/server/static,none detected,,,internal-only,local,ready,,server-post
/api/bna/migrate-db,server.js:80114,internal,protected,direct/server/static,none detected,,,internal-only,local,ready,,server-post
/api/bna/notification-preferences,server.js:77151 | server.js:77182,internal,protected,direct/server/static,none detected,,,internal-only,local,ready,,server-get | server-patch
/api/bna/notifications,server.js:77070,internal,protected,direct/server/static,none detected,,,internal-only,local,ready,,server-get
/api/bna/notifications/:id,server.js:77127,internal,protected,direct/server/static,none detected,,,internal-only,local,ready,,server-patch
/api/bna/one-time/agent-mode-acceptance,server.js:73351,one time,protected,direct/server/static,none detected,,,internal-only,local,ready,one_time_agent_mode_acceptance,route-registry | server-get
/api/bna/one-time/app-access-readiness,server.js:70324,one time,protected,direct/server/static,none detected,,,internal-only,local,ready,,server-get
/api/bna/one-time/appointment-intents,server.js:73599 | server.js:73622,one time,protected,direct/server/static,none detected,,,internal-only,local,ready,,server-get | server-post
/api/bna/one-time/assets/:assetId,server.js:70585,one time,protected,direct/server/static,none detected,,,internal-only,local,ready,,server-patch
/api/bna/one-time/calendar,server.js:73494,one time,protected,direct/server/static,none detected,,,internal-only,local,ready,,server-get
/api/bna/one-time/calendar-events,server.js:73509,one time,protected,direct/server/static,none detected,,,internal-only,local,ready,,server-post
/api/bna/one-time/classes,server.js:70336 | server.js:70410,one time,protected,direct/server/static,none detected,,,internal-only,local,ready,,server-get | server-post
/api/bna/one-time/classes/:id,server.js:70466 | server.js:70483,one time,protected,direct/server/static,none detected,,,internal-only,local,ready,,server-get | server-patch
/api/bna/one-time/classes/:id/approve-library,server.js:70707,one time,protected,direct/server/static,none detected,,,internal-only,local,ready,,server-post
/api/bna/one-time/classes/:id/assets,server.js:70550,one time,protected,direct/server/static,none detected,,,internal-only,local,ready,,server-post
/api/bna/one-time/classes/:id/member-preview,server.js:70672,member,protected,direct/server/static,none detected,,,internal-only,mocked integration,ready,,server-post
/api/bna/one-time/classes/:id/package-preview,server.js:70636,one time,protected,direct/server/static,none detected,,,internal-only,mocked integration,ready,,server-post
/api/bna/one-time/classes/:id/publish-library,server.js:70748,one time,protected,direct/server/static,none detected,,,internal-only,local,ready,,server-post
/api/bna/one-time/classroom,server.js:71246,one time,protected,direct/server/static,none detected,,,internal-only,local,ready,,server-get
/api/bna/one-time/classroom/assignment-preview,server.js:71261,one time,protected,direct/server/static,none detected,,,internal-only,mocked integration,ready,,server-post
/api/bna/one-time/classroom/assignments,server.js:71273,one time,protected,direct/server/static,none detected,,,internal-only,local,ready,,server-post
/api/bna/one-time/classroom/messages/:id/review,server.js:71380,one time,protected,direct/server/static,none detected,,,internal-only,mocked integration,ready,,server-post
/api/bna/one-time/classroom/threads,server.js:71304,one time,protected,direct/server/static,none detected,,,internal-only,local,ready,,server-post
/api/bna/one-time/community-moderation-readiness,server.js:73402,admin,protected,direct/server/static,none detected,,,internal-only,local,ready,operations_api_one_time_community_moderation_readiness,route-registry | server-get
/api/bna/one-time/crm-import-preview,server.js:73327,one time,protected,direct/server/static,none detected,,,internal-only,mocked integration,ready,,server-get
/api/bna/one-time/drive-social-ingestion,server.js:70312,one time,protected,direct/server/static,none detected,,,internal-only,live credential,intentionally blocked,,server-get
/api/bna/one-time/integrations/readiness,server.js:41657,admin,protected,direct/server/static,none detected,,,internal-only,local,ready,operations_api_one_time_integrations_readiness,route-registry | server-get
/api/bna/one-time/library-items/:id/rollback,server.js:70870,one time,protected,direct/server/static,none detected,,,internal-only,local,ready,,server-post
/api/bna/one-time/library-smoke,server.js:70943,one time,protected,direct/server/static,none detected,,,internal-only,local,ready,,server-post
/api/bna/one-time/payment-access-class-links,server.js:73308,admin,protected,direct/server/static,none detected,,,internal-only,live credential,intentionally blocked,operations_api_one_time_payment_access_class_links,route-registry | server-get
/api/bna/one-time/product-leads,server.js:73460,one time,protected,direct/server/static,none detected,,,internal-only,local,ready,,server-get
/api/bna/one-time/product-system,server.js:73282,one time,protected,direct/server/static,none detected,,,internal-only,local,ready,,server-get
/api/bna/one-time/question-moderation,server.js:76276,one time,protected,direct/server/static,none detected,,,internal-only,local,ready,,server-get
/api/bna/one-time/roadmap,server.js:78319,one time,protected,direct/server/static,none detected,,,internal-only,local,ready,,server-get
/api/bna/one-time/source-prep-jobs,server.js:73697 | server.js:73714,one time,protected,direct/server/static,none detected,,,internal-only,local,ready,,server-get | server-post
/api/bna/one-time/study-assistant-readiness,server.js:73423,admin,protected,direct/server/static,none detected,,,internal-only,local,ready,operations_api_one_time_study_assistant_readiness,route-registry | server-get
/api/bna/one-time/test-identities-preview,server.js:73336,one time,protected,direct/server/static,none detected,,,internal-only,mocked integration,ready,one_time_test_identities_preview,route-registry | server-get
/api/bna/one-time/transcript-privacy,server.js:73366,admin,protected,direct/server/static,none detected,,,internal-only,local,ready,operations_api_one_time_transcript_privacy_readiness,route-registry | server-get
/api/bna/one-time/trial-referral-config,server.js:73290,admin,protected,direct/server/static,none detected,,,internal-only,local,ready,operations_api_one_time_trial_referral_config,route-registry | server-get
/api/bna/one-time/view-as-rabbi/end,server.js:10317,admin,protected,/provider.html (fetch),none detected,/provider.html (fetch),,internal-only,local,ready,operations_api_one_time_view_as_rabbi_end,fetch | route-registry | server-post
