"Reporting starts","Reporting ends","Campaign name","Campaign delivery",Results,"Result indicator","Cost per results","Ad set budget","Ad set budget type","Amount spent (ILS)",Impressions,Reach,"Total messaging contacts","New messaging contacts",Purchases,Ends,"Attribution setting","Cost per purchase (ILS)","Results (initial)","Results (initial) indicator"
2026-05-09,2026-06-07,"Parents 25+ - RBS Aleph +5km - WhatsApp",active,3,actions:onsite_conversion.messaging_conversation_started_7d,64.85333333,30,Daily,194.56,6728,2617,3,3,,2026-06-08,"7-day click or 1-day view",,,
2026-05-09,2026-06-07,"BNA Hebrew - RBS Aleph +5km - WhatsApp - ₪250",active,4,actions:onsite_conversion.messaging_conversation_started_7d,47.1925,30,Daily,188.77,5669,2842,4,4,,2026-06-08,"7-day click or 1-day view",,,
